ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Latitude,Longitude
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355437.0,965933.0,, 8.73614° N, 37.68581° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355429.0,965985.0,, 8.73661° N, 37.68574° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355289.0,966004.0,, 8.73678° N, 37.68446° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355214.0,966110.0,, 8.73774° N, 37.68378° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355069.0,966208.0,, 8.73862° N, 37.68246° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355044.0,966304.0,, 8.73949° N, 37.68223° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355117.0,966419.0,, 8.74053° N, 37.68289° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354852.0,966651.0,, 8.74262° N, 37.68047° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354872.0,966690.0,, 8.74297° N, 37.68065° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354698.0,966832.0,, 8.74425° N, 37.67907° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354688.0,966757.0,, 8.74357° N, 37.67898° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354512.0,966835.0,, 8.74427° N, 37.67738° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354471.0,966808.0,, 8.74403° N, 37.67700° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354408.0,966824.0,, 8.74417° N, 37.67643° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354232.0,966928.0,, 8.74510° N, 37.67483° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354215.0,966885.0,, 8.74471° N, 37.67467° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354264.0,966828.0,, 8.74420° N, 37.67512° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354162.0,966803.0,, 8.74397° N, 37.67420° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354154.0,966769.0,, 8.74366° N, 37.67412° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354199.0,966736.0,, 8.74337° N, 37.67453° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354195.0,966705.0,, 8.74309° N, 37.67450° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354408.0,966827.0,, 8.74420° N, 37.67643° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354332.0,966917.0,, 8.74501° N, 37.67574° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354138.0,966692.0,, 8.74297° N, 37.67398° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354140.0,966638.0,, 8.74248° N, 37.67400° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354211.0,966615.0,, 8.74227° N, 37.67465° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354275.0,966434.0,, 8.74064° N, 37.67523° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354246.0,966404.0,, 8.74037° N, 37.67497° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354315.0,966363.0,, 8.74000° N, 37.67560° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354283.0,966255.0,, 8.73902° N, 37.67531° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354364.0,966083.0,, 8.73747° N, 37.67605° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354251.0,965986.0,, 8.73659° N, 37.67503° E
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354344.0,965838.0,, 8.73525° N, 37.67588° E
,,,,,,,,, nan° N, nan° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,9.54ha,353943.0,970170.0,, 8.77441° N, 37.67210° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353993.0,970143.0,, 8.77417° N, 37.67255° E
6.0,West Showa,DireInchini,Arfingo Dage,Digo forest,,354035.0,970187.0,, 8.77457° N, 37.67293° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354018.0,970215.0,, 8.77482° N, 37.67278° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354127.0,970247.0,, 8.77511° N, 37.67377° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354139.0,970227.0,, 8.77493° N, 37.67388° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354165.0,970177.0,, 8.77448° N, 37.67411° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354133.0,970086.0,, 8.77366° N, 37.67383° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354154.0,970080.0,, 8.77360° N, 37.67402° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354193.0,970144.0,, 8.77418° N, 37.67437° E
